identifier;title;author;source_date;publication_date;source;type
2017_Zagajewski-Adam_Glosy;Glosy na mankiecie świata;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Czegoz-to-nie;Czegóż to nie potrafi tak mały księżyc;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_O-probach;O próbach zamykania otwartego społeczeństwa;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Wiersze-Utza;Wiersze Utza Rachowskiego;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Antonio-Machado;Antonio Machado;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Poslowie;Posłowie;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2015_Slawek-Tadeusz_Wielokrok;Wielokrok;Tadeusz Sławek;2015;2015;U-chodzić, https://www.sbc.org.pl/dlibra/publication/403661/edition/380192/content;literary
2015_Slawek-Tadeusz_Pierwsze-kroki;Pierwsze kroki;Tadeusz Sławek;2015;2015;U-chodzić, https://www.sbc.org.pl/dlibra/publication/403661/edition/380192/content;literary
2015_Wicha-Marcin_Jak-przestalem;Jak przestałem kochać design;Marcin Wicha;2015;2015;;literary
2017_Wicha-Marcin_Rzeczy;Rzeczy, których nie wyrzuciłem;Marcin Wicha;2017;2017;;literary
2015_Dakowicz-Przemyslaw_Afazja;Afazja polska;Przemysław Dakowicz;2015;2015;;literary
2010_Bienczyk-Marek_Nowe-kroniki;Nowe Kroniki wina;Bieńczyk Marek;2010;2010;;literary
2018_Hertz-Pawel_Pamiec;Pamięć i ład ;Paweł Hertz;2018;2018;;literary
2016_Matywiecki-Piotr_Stary-gmach;Stary gmach;Piotr Matywiecki;2016;2016;;literary
2013_Matywiecki-Piotr_Mysli;Myśli do słów.  Szkice o poezji;Piotr Matywiecki;2013;2013;;literary
2018_Rutkowski-Krzysztof_Warszawskie;Warszawskie pasaże;Krzysztof Rutkowski;2018;2018;;literary
2022_Walter-Andrzej_Poezja-mi;Poezja mi wszystko wyjaśniła. Szkice i eseje;Walter, Andrzej;2022;2022;;literary
2021_Nowosielski-Kazimierz_Czulosc;Czułość i ślad. O tym, co kto pokochał;Nowosielski, Kazimierz;2021;2021;;literary
2020_Wierzbicki-Piotr_Powrot;Powrót do Mickiewicza;Wierzbicki, Piotr;2020;2020;;literary
2020_Drzewucki-Janusz_Muzyka;Muzyka sfer Teksty o poetkach i poetach ;Drzewucki, Janusz;2020;2020;;literary
2022_Wierzbicki-Piotr_Domek;Domek Baby Jagi;Piotr Wierzbicki;2022;2022;;literary
2020_Wildstein-Bronislaw_Bunt;Bunt i afirmacja. Esej o naszych czasach;Bronisław Wildstein;2020;2020;;literary
2020_Drzewucki-Janusz_Muzyka;Muzyka sfer;Janusz Drzewucki;2020;2020;;literary
2022_Bugajski-Leszek_Opowiesci;Opowieści o powieści;Leszek Bugajski;2022;2022;;literary
